appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
730,Counter-Strike: Global Offensive,2012-08-21,1,Valve;Hidden Path Entertainment,Valve,windows;mac;linux,0,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,Action;Free to Play,FPS;Multiplayer;Shooter,167,2644404,402313,22494,6502,50000000-100000000,0.0
1002,Rag Doll Kung Fu,2005-10-12,1,Mark Healey,Mark Healey,windows,0,Single-player;Multi-player,Indie,Indie;Fighting;Multiplayer,0,40,17,0,0,20000-50000,5.99
1200,Red Orchestra: Ostfront 41-45,2006-03-14,1,Tripwire Interactive,Tripwire Interactive,windows;mac;linux,0,Multi-player;Steam Achievements;Valve Anti-Cheat enabled,Action,World War II;Action;FPS,44,1562,223,232,258,500000-1000000,3.99
1250,Killing Floor,2009-05-14,1,Tripwire Interactive,Tripwire Interactive,windows;mac;linux,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor,Action,FPS;Zombies;Co-op,285,53710,2649,1328,306,2000000-5000000,14.99
1300,SiN Episodes: Emergence,2006-05-10,1,Ritual Entertainment,Ritual Entertainment,windows,0,Single-player;Stats,Action,Action;FPS;Cyberpunk,0,468,61,0,0,100000-200000,7.19
1500,Darwinia,2005-07-14,1,Introversion Software,Introversion Software,windows;mac;linux,0,Single-player,Indie;Strategy,Strategy;Indie;RTS,0,472,158,182,273,500000-1000000,7.19
1510,Uplink,2006-08-23,1,Introversion Software,Introversion Software,windows;mac;linux,0,Single-player,Indie;Strategy,Hacking;Indie;Strategy,0,1602,152,65,77,500000-1000000,6.99
1520,DEFCON,2006-09-29,1,Introversion Software,Introversion Software,windows;mac;linux,0,Single-player;Multi-player,Indie;Strategy,Strategy;Indie;Multiplayer,22,2057,344,80,119,500000-1000000,7.19
1530,Multiwinia,2008-09-19,1,Introversion Software,Introversion Software,windows;mac,0,Single-player;Multi-player;Steam Achievements,Indie,Indie;RTS;Strategy,12,368,75,121,224,500000-1000000,7.19
1600,Dangerous Waters,2006-02-07,1,Sonalysts,Strategy First,windows,0,Single-player;Multi-player,Strategy,Strategy;Simulation;Naval,0,140,44,0,0,50000-100000,22.99
1610,Space Empires IV Deluxe,2006-02-07,1,Malfador Machinations,Strategy First,windows,0,Single-player;Multi-player,Strategy,Strategy;4X;Sci-fi,0,112,26,0,0,50000-100000,6.99
1630,Disciples II: Rise of the Elves ,2006-07-06,1,Strategy First,Strategy First,windows,0,Single-player;Multi-player;Co-op,Strategy,Strategy;Turn-Based Strategy;Fantasy,0,451,108,0,0,100000-200000,4.99
1640,Disciples II: Gallean's Return,2006-07-06,1,Strategy First,Strategy First,windows,0,Single-player;Multi-player;Co-op,Strategy,Turn-Based Strategy;Strategy;Classic,0,490,152,9,12,100000-200000,4.99
1670,Iron Warriors: T - 72 Tank Command ,2006-07-26,1,Strategy First,Strategy First,windows,0,Single-player;Multi-player,Strategy,Simulation;Strategy;Tanks,0,137,102,0,0,20000-50000,3.99
1690,Space Empires V,2006-10-16,1,Malfador Machinations,Strategy First,windows,0,Single-player;Multi-player,Strategy,Strategy;4X;Space,0,191,85,35,35,50000-100000,10.99
1700,Arx Fatalis,2007-04-03,1,Arkane Studios,Arkane Studios,windows,0,Single-player,RPG,RPG;First-Person;Classic,0,671,106,11,21,100000-200000,2.99
1840,Source Filmmaker,2012-07-10,1,Valve,Valve,windows,0,Steam Workshop,Animation & Modeling;Video Production,Animation & Modeling;Video Production;Free to Play,0,15083,1111,239,77,1000000-2000000,0.0
1900,Earth 2160,2006-04-01,1,Reality Pump Studios,Topware Interactive;ACE,windows;mac;linux,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Trading Cards,Strategy,Strategy;RTS;Sci-fi,0,498,238,405,414,1000000-2000000,3.99
1930,Two Worlds Epic Edition,2009-04-30,1,Reality Pump Studios,Topware Interactive,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support,RPG,RPG;Open World;Fantasy,0,2656,1055,484,422,1000000-2000000,6.99
2100,Dark Messiah of Might & Magic,2006-10-25,1,Arkane Studios,Ubisoft,windows,0,Single-player;Multi-player;Valve Anti-Cheat enabled,Action;RPG,RPG;Action;First-Person,0,4386,316,634,700,1000000-2000000,4.29
2200,Quake III Arena,2007-08-03,1,id Software,id Software,windows,0,Single-player;Multi-player;Steam Cloud,Action,FPS;Action;Classic,0,1362,66,123,103,200000-500000,12.99
2210,Quake IV,2011-08-04,1,RavenSoft / id Software,Bethesda Softworks,windows,18,Single-player;Multi-player;Steam Cloud,Action,FPS;Action;Shooter,0,891,171,36,32,200000-500000,12.99
2270,Wolfenstein 3D,2007-08-03,1,id Software,Bethesda-Softworks,windows,0,Single-player;Steam Cloud,Action,FPS;Classic;Action,0,1773,87,69,110,200000-500000,2.99
2280,Ultimate Doom,2007-08-03,1,id Software,id Software,windows,0,Single-player;Steam Cloud,Action,Classic;FPS;Action,0,3705,257,125,179,500000-1000000,3.99
2290,Final DOOM,2007-08-03,1,id Software,id Software,windows,0,Single-player;Steam Cloud,Action,FPS;Action;Classic,0,573,82,120,114,200000-500000,3.99
